GEOID,NAME,variable,estimate,moe
36001,"Albany County, New York",total_population,315041,-555555555
36003,"Allegany County, New York",total_population,47222,-555555555
36005,"Bronx County, New York",total_population,1443229,-555555555
36007,"Broome County, New York",total_population,198365,-555555555
36009,"Cattaraugus County, New York",total_population,77000,-555555555
36011,"Cayuga County, New York",total_population,76171,-555555555
36013,"Chautauqua County, New York",total_population,127440,-555555555
36015,"Chemung County, New York",total_population,83584,-555555555
36017,"Chenango County, New York",total_population,47096,-555555555
36019,"Clinton County, New York",total_population,79839,-555555555
36021,"Columbia County, New York",total_population,61469,-555555555
36023,"Cortland County, New York",total_population,46755,-555555555
36025,"Delaware County, New York",total_population,44637,-555555555
36027,"Dutchess County, New York",total_population,296467,-555555555
36029,"Erie County, New York",total_population,951232,-555555555
36031,"Essex County, New York",total_population,37314,-555555555
36033,"Franklin County, New York",total_population,47459,-555555555
36035,"Fulton County, New York",total_population,53280,-555555555
36037,"Genesee County, New York",total_population,58204,-555555555
36039,"Greene County, New York",total_population,48067,-555555555
36041,"Hamilton County, New York",total_population,5090,-555555555
36043,"Herkimer County, New York",total_population,60293,-555555555
36045,"Jefferson County, New York",total_population,117445,-555555555
36047,"Kings County, New York",total_population,2679620,-555555555
36049,"Lewis County, New York",total_population,26690,-555555555
36051,"Livingston County, New York",total_population,61980,-555555555
36053,"Madison County, New York",total_population,68020,-555555555
36055,"Monroe County, New York",total_population,756406,-555555555
36057,"Montgomery County, New York",total_population,49624,-555555555
36059,"Nassau County, New York",total_population,1389160,-555555555
36061,"New York County, New York",total_population,1645867,-555555555
36063,"Niagara County, New York",total_population,212230,-555555555
36065,"Oneida County, New York",total_population,231055,-555555555
36067,"Onondaga County, New York",total_population,472637,-555555555
36069,"Ontario County, New York",total_population,112288,-555555555
36071,"Orange County, New York",total_population,401237,-555555555
36073,"Orleans County, New York",total_population,40148,-555555555
36075,"Oswego County, New York",total_population,118037,-555555555
36077,"Otsego County, New York",total_population,59678,-555555555
36079,"Putnam County, New York",total_population,97942,-555555555
36081,"Queens County, New York",total_population,2360826,-555555555
36083,"Rensselaer County, New York",total_population,160943,-555555555
36085,"Richmond County, New York",total_population,492925,-555555555
36087,"Rockland County, New York",total_population,337326,-555555555
36089,"St. Lawrence County, New York",total_population,108670,-555555555
36091,"Saratoga County, New York",total_population,236328,-555555555
36093,"Schenectady County, New York",total_population,159447,-555555555
36095,"Schoharie County, New York",total_population,29970,-555555555
36097,"Schuyler County, New York",total_population,17855,-555555555
36099,"Seneca County, New York",total_population,33651,-555555555
36101,"Steuben County, New York",total_population,93584,-555555555
36103,"Suffolk County, New York",total_population,1524486,-555555555
36105,"Sullivan County, New York",total_population,78725,-555555555
36107,"Tioga County, New York",total_population,48344,-555555555
36109,"Tompkins County, New York",total_population,102555,-555555555
36111,"Ulster County, New York",total_population,182153,-555555555
36113,"Warren County, New York",total_population,65684,-555555555
36115,"Washington County, New York",total_population,61310,-555555555
36117,"Wayne County, New York",total_population,91324,-555555555
36119,"Westchester County, New York",total_population,997904,-555555555
36121,"Wyoming County, New York",total_population,40338,-555555555
36123,"Yates County, New York",total_population,24713,-555555555
36001,"Albany County, New York",Not_Hispanic_or_Latino_Population,294428,-555555555
36003,"Allegany County, New York",Not_Hispanic_or_Latino_Population,46336,-555555555
36005,"Bronx County, New York",Not_Hispanic_or_Latino_Population,629212,-555555555
36007,"Broome County, New York",Not_Hispanic_or_Latino_Population,188934,-555555555
36009,"Cattaraugus County, New York",Not_Hispanic_or_Latino_Population,75172,-555555555
36011,"Cayuga County, New York",Not_Hispanic_or_Latino_Population,73743,-555555555
36013,"Chautauqua County, New York",Not_Hispanic_or_Latino_Population,117107,-555555555
