GEOID,NAME,income_0_24999,income_25000_49999,income_50000_74999,income_75000_99999,income_100000_124999,income_125000_149999,income_150000_199999,income_200000_or_more
36001,"Albany County, New York",20645,20815,21933,16701,14025,11005,12470,14581
36003,"Allegany County, New York",3382,3715,3239,2429,1600,970,907,571
36005,"Bronx County, New York",164214,108547,81308,56357,37349,24363,27831,25418
36007,"Broome County, New York",18318,16818,14316,9436,7575,4924,4991,4961
36009,"Cattaraugus County, New York",6825,7487,5554,4194,3315,1446,1513,1157
36011,"Cayuga County, New York",5841,6171,5835,3914,2896,2361,2220,1672
36013,"Chautauqua County, New York",12560,12112,9480,6640,4357,3580,2790,1886
36015,"Chemung County, New York",6508,7369,6548,4884,3788,2082,2007,1593
36017,"Chenango County, New York",3527,4472,3940,2707,2044,1286,1167,743
36019,"Clinton County, New York",5913,6270,5838,4178,3780,2444,2224,2004
36021,"Columbia County, New York",3483,4238,3766,3391,2652,2116,2432,3222
36023,"Cortland County, New York",3101,3910,3811,2424,1865,1186,1399,818
36025,"Delaware County, New York",3902,4106,3474,2562,1659,1017,1145,915
36027,"Dutchess County, New York",13849,16922,15987,12861,12514,9887,13556,18396
36029,"Erie County, New York",73962,79292,67542,51536,40560,27815,33245,32595
36031,"Essex County, New York",2701,3116,2938,1764,2208,812,1112,1099
36033,"Franklin County, New York",4019,3743,3867,2540,1750,1107,1075,832
36035,"Fulton County, New York",4216,4930,4136,3113,2192,1345,1202,969
36037,"Genesee County, New York",3984,4920,4318,3692,2641,1510,2174,1177
36039,"Greene County, New York",3104,3518,2868,2502,1894,905,1637,1475
36041,"Hamilton County, New York",236,405,293,259,173,123,146,90
36043,"Herkimer County, New York",4290,5056,4038,3766,3040,1731,1688,1055
36045,"Jefferson County, New York",7579,10663,8326,7286,4493,2825,3014,1913
36047,"Kings County, New York",203840,162498,134017,108698,86700,66421,87671,148112
36049,"Lewis County, New York",1858,2230,2076,1738,1100,588,737,345
36051,"Livingston County, New York",3679,4469,4536,3361,2665,2011,1871,1479
36053,"Madison County, New York",4229,4763,4645,3229,2557,1842,2081,1872
36055,"Monroe County, New York",53295,59657,51020,41122,32308,21692,27695,27938
36057,"Montgomery County, New York",3859,4447,3259,2412,2002,817,1160,962
36059,"Nassau County, New York",35395,41404,43017,41497,44526,39722,66383,142827
36061,"New York County, New York",146736,91336,81222,67261,60482,46280,70651,208633
36063,"Niagara County, New York",17101,18473,15252,11756,9182,6194,7296,5728
36065,"Oneida County, New York",16520,18626,16171,13155,9566,6343,6566,5997
36067,"Onondaga County, New York",34208,35267,31261,24781,19724,13387,17402,16755
36069,"Ontario County, New York",5953,8305,8771,6539,5629,3224,4307,4352
36071,"Orange County, New York",19449,18856,18401,15655,14835,11503,16518,19923
36073,"Orleans County, New York",2753,3793,2962,2348,1496,831,1443,575
36075,"Oswego County, New York",8399,9727,8291,6619,4597,3595,3266,2709
36077,"Otsego County, New York",4035,4254,4342,3248,2278,1526,1358,1264
36079,"Putnam County, New York",2804,3856,4090,3681,3697,3592,5275,7908
36081,"Queens County, New York",117943,131078,124763,104087,85222,64767,87801,101198
36083,"Rensselaer County, New York",9371,10543,9834,9330,7478,6367,7392,5773
36085,"Richmond County, New York",22916,22112,22835,19706,17093,14535,21897,28906
36087,"Rockland County, New York",12290,13814,12044,10629,9357,8819,12125,23501
36089,"St. Lawrence County, New York",9561,8589,7267,4908,4007,2802,2422,1843
36091,"Saratoga County, New York",9875,13728,13851,13287,11204,8699,13360,14405
36093,"Schenectady County, New York",9841,11357,10763,8785,6623,5101,6047,5447
36095,"Schoharie County, New York",1984,2379,2173,1924,1312,861,828,822
36097,"Schuyler County, New York",1446,1636,1110,1126,833,412,554,329
36099,"Seneca County, New York",2395,3120,2551,1991,1297,734,798,736
36101,"Steuben County, New York",6956,9052,6651,5284,3796,2568,2825,2033
36103,"Suffolk County, New York",44036,51836,56635,54161,53725,50556,75620,124117
36105,"Sullivan County, New York",5147,6305,5150,3899,2625,1523,2473,2773
36107,"Tioga County, New York",3075,4270,3417,3006,2210,1400,1543,1391
36109,"Tompkins County, New York",7923,8221,6707,5069,4111,2812,3643,4498
36111,"Ulster County, New York",11967,12071,11475,7858,7591,5485,6909,8909
36113,"Warren County, New York",4431,5291,5244,4061,3070,2233,2757,2695
36115,"Washington County, New York",3843,4460,4803,3912,2777,1664,1650,1126
36117,"Wayne County, New York",6072,6806,7158,5190,4577,2993,2966,1994
36119,"Westchester County, New York",44587,43909,38797,37504,33061,27149,39521,103212
36121,"Wyoming County, New York",2354,3449,3275,2530,1670,1226,852,796
36123,"Yates County, New York",1541,1913,1821,1097,966,446,624,474
